,losses,epsilons
0,"(0.5107345581054688, array(1.0040874, dtype=float32))",0.9999040635566536
1,"(0.5181313157081604, array(1.0268462, dtype=float32))",0.9998081363171083
2,"(0.5167055130004883, array(1.0490346, dtype=float32))",0.9997122182804811
3,"(0.5170581340789795, array(1.075685, dtype=float32))",0.9996163094458892
4,"(0.5044333338737488, array(1.0774513, dtype=float32))",0.9995204098124498
5,"(0.49441245198249817, array(1.0927813, dtype=float32))",0.9994245193792802
6,"(0.49863138794898987, array(1.0871997, dtype=float32))",0.9993286381454977
7,"(0.47233864665031433, array(1.0981536, dtype=float32))",0.9992327661102197
8,"(0.5265807509422302, array(1.1558057, dtype=float32))",0.9991369032725639
9,"(0.5159028768539429, array(1.1731472, dtype=float32))",0.9990410496316476
10,"(0.5032300353050232, array(1.1904584, dtype=float32))",0.9989452051865889
11,"(0.522290825843811, array(1.2086191, dtype=float32))",0.9988493699365052
12,"(0.5008705258369446, array(1.2109041, dtype=float32))",0.9987535438805146
13,"(0.5258272886276245, array(1.2357066, dtype=float32))",0.998657727017735
14,"(0.5176773071289062, array(1.2641238, dtype=float32))",0.9985619193472844
15,"(0.4937117397785187, array(1.2466952, dtype=float32))",0.998466120868281
16,"(0.47642090916633606, array(1.2583712, dtype=float32))",0.998370331579843
17,"(0.4778757691383362, array(1.2522353, dtype=float32))",0.9982745514810886
18,"(0.5017015933990479, array(1.2963941, dtype=float32))",0.9981787805711362
19,"(0.46804243326187134, array(1.3240198, dtype=float32))",0.9980830188491042
20,"(0.44280993938446045, array(1.282193, dtype=float32))",0.9979872663141113
21,"(0.4729364216327667, array(1.312368, dtype=float32))",0.9978915229652761
22,"(0.45682287216186523, array(1.3476156, dtype=float32))",0.9977957888017172
23,"(0.4525163471698761, array(1.3748931, dtype=float32))",0.9977000638225534
24,"(0.45511797070503235, array(1.3540928, dtype=float32))",0.9976043480269037
25,"(0.45612508058547974, array(1.4062401, dtype=float32))",0.9975086414138871
26,"(0.45258837938308716, array(1.3929795, dtype=float32))",0.9974129439826224
27,"(0.46068915724754333, array(1.4409945, dtype=float32))",0.997317255732229
28,"(0.44779595732688904, array(1.4260145, dtype=float32))",0.9972215766618259
29,"(0.47451189160346985, array(1.4474072, dtype=float32))",0.9971259067705326
30,"(0.46480828523635864, array(1.5037255, dtype=float32))",0.9970302460574684
31,"(0.4213030934333801, array(1.4485564, dtype=float32))",0.9969345945217528
32,"(0.4376080632209778, array(1.517385, dtype=float32))",0.9968389521625053
33,"(0.44267114996910095, array(1.5056986, dtype=float32))",0.9967433189788456
34,"(0.45587190985679626, array(1.5587636, dtype=float32))",0.9966476949698934
35,"(0.4432413876056671, array(1.55026, dtype=float32))",0.9965520801347685
36,"(0.43428269028663635, array(1.5959148, dtype=float32))",0.9964564744725908
37,"(0.43118396401405334, array(1.6100359, dtype=float32))",0.9963608779824803
38,"(0.43836066126823425, array(1.5696174, dtype=float32))",0.9962652906635571
39,"(0.44553467631340027, array(1.6219164, dtype=float32))",0.9961697125149412
40,"(0.4483356177806854, array(1.6694093, dtype=float32))",0.9960741435357531
41,"(0.43504223227500916, array(1.6171184, dtype=float32))",0.9959785837251128
42,"(0.42318761348724365, array(1.6550276, dtype=float32))",0.995883033082141
43,"(0.4177183210849762, array(1.6955559, dtype=float32))",0.9957874916059579
44,"(0.45623067021369934, array(1.7061468, dtype=float32))",0.9956919592956843
45,"(0.43072715401649475, array(1.7349133, dtype=float32))",0.9955964361504408
46,"(0.41719329357147217, array(1.7123483, dtype=float32))",0.9955009221693482
47,"(0.424187034368515, array(1.7433099, dtype=float32))",0.9954054173515271
48,"(0.43032509088516235, array(1.7682253, dtype=float32))",0.9953099216960986
49,"(0.42327168583869934, array(1.7436305, dtype=float32))",0.9952144352021836
50,"(0.4212254285812378, array(1.7846354, dtype=float32))",0.9951189578689031
51,"(0.4145166277885437, array(1.8028468, dtype=float32))",0.9950234896953786
52,"(0.4076731204986572, array(1.7830168, dtype=float32))",0.994928030680731
53,"(0.43295198678970337, array(1.7794151, dtype=float32))",0.9948325808240817
54,"(0.424949586391449, array(1.8520839, dtype=float32))",0.9947371401245523
55,"(0.39772412180900574, array(1.8593378, dtype=float32))",0.994641708581264
56,"(0.3943455219268799, array(1.8748641, dtype=float32))",0.9945462861933386
57,"(0.38911953568458557, array(1.9270284, dtype=float32))",0.9944508729598979
58,"(0.3910621702671051, array(1.8973929, dtype=float32))",0.9943554688800632
59,"(0.38885876536369324, array(1.8917049, dtype=float32))",0.9942600739529568
60,"(0.4061710238456726, array(1.966302, dtype=float32))",0.9941646881777003
