,scores
0,7.224021282385228
1,66.98384616406838
2,3.1351200239577404
3,45.881761489856245
4,411.46707742324344
5,26.712331287411104
6,37.76357393129932
7,229.52584962017482
8,13.328778689825256
9,6.518980404672421
10,1.634947206915466
11,6.449875669734838
12,2.4403376123391918
13,14.628205820976492
14,49.7130648894245
15,55.39946755959181
16,6.683679419531796
17,53.698111338673286
18,26.491132062494632
19,3.258306210866105
20,145.438302335294
21,0.8216910343711432
22,4.801285909054935
23,259.1482495830786
24,2.492497382824854
25,5.6056742369497705
26,9.074298590113198
27,280.2570708444
28,364.2728553464407
29,30.32342041837898
30,5.734894744735714
31,10.437328750148566
32,26.867555356378006
33,9.462402811777515
34,243.99981896652548
35,59.392190803341144
36,134.34791674288488
37,207.1952351242597
38,79.94631280619322
39,0.812238404552818
40,4.271870122663969
41,0.8191341366321325
42,111.22682899900413
43,215.7951328862461
44,81.7377135039415
45,176.9685975716467
46,163.26931740879354
47,200.25672242503896
48,130.193975013669
49,179.719399181608
50,33.93337854134376
51,56.32188391223038
52,196.4888556058934
53,59.68166454299452
54,36.31732961994545
55,194.80174397334488
56,201.38235714199016
57,46.709379388601754
58,107.13395797000882
59,174.09083092227522
60,23.692434070430725
61,15.444882275340461
62,158.11563481040727
63,79.58866162924977
64,192.7110018709392
65,91.87788822497168
66,73.3295687514129
67,170.13395841470327
68,108.39219808755082
69,319.71758713259504
70,415.3508219181038
71,200.69361356407617
72,11.044597879453981
73,218.24908634460377
74,229.38097662665797
75,168.31369798521666
76,8.583725683645897
77,217.20045218524888
78,360.21850487791835
79,277.4439602691737
80,223.52282368950586
81,193.50700800169844
82,239.07012525289272
83,247.19880078900684
84,202.67744944796829
85,311.1933482686234
86,391.9638770530388
87,243.06311575625426
88,10.578102329370298
89,349.2423246384081
90,415.49085619738986
91,28.62600380764601
92,216.80737235733483
93,72.52079094987768
94,406.24480773984544
95,6.92409152862052
96,409.4308396965309
97,300.8117882797696
98,52.29315379023516
99,310.42100696555843
100,436.0853414940766
101,5.207632568725873
102,371.2596201898692
103,442.3682875748551
104,30.153956291186777
105,434.59112606431705
106,451.90705187107915
107,448.7581985589444
108,448.40122366370565
109,453.34577020996915
110,240.4387389679613
111,50.954469218599954
112,455.426117885722
113,397.3084445085136
114,127.5448882270285
115,453.72460391361057
116,472.63774193135737
117,454.11141859646705
118,427.94536860303003
119,381.0858628313709
120,67.61086683203584
121,4.180204412595286
122,340.46837162698677
123,156.9158925308716
124,185.22604434579029
125,433.3206556887145
126,236.04426703624029
127,145.66659097979854
128,187.19891842061955
129,153.63085232170604
130,93.99285763515347
131,398.659295483352
132,391.4901319122454
133,198.23109129798385
134,112.22898587797457
135,196.41697286880506
136,453.70266908466414
137,56.64670808980911
138,29.135236806004812
139,179.38416789075396
