,losses,epsilons
30,"(0.4546949863433838, array(1.4927824, dtype=float32))",0.9970302460574684
31,"(0.41182735562324524, array(1.4379528, dtype=float32))",0.9969345945217528
32,"(0.42822733521461487, array(1.5068673, dtype=float32))",0.9968389521625053
33,"(0.43320727348327637, array(1.4952534, dtype=float32))",0.9967433189788456
34,"(0.4465726315975189, array(1.5484204, dtype=float32))",0.9966476949698934
35,"(0.43385714292526245, array(1.5399249, dtype=float32))",0.9965520801347685
36,"(0.424585223197937, array(1.5849124, dtype=float32))",0.9964564744725908
37,"(0.42148318886756897, array(1.598955, dtype=float32))",0.9963608779824803
38,"(0.4287329912185669, array(1.5588658, dtype=float32))",0.9962652906635571
39,"(0.4353947639465332, array(1.610661, dtype=float32))",0.9961697125149412
40,"(0.43801313638687134, array(1.6579806, dtype=float32))",0.9960741435357531
41,"(0.42475074529647827, array(1.6053174, dtype=float32))",0.9959785837251128
42,"(0.41280531883239746, array(1.6432182, dtype=float32))",0.995883033082141
43,"(0.4071010649204254, array(1.6834071, dtype=float32))",0.9957874916059579
44,"(0.44549068808555603, array(1.6941748, dtype=float32))",0.9956919592956843
45,"(0.42034798860549927, array(1.723084, dtype=float32))",0.9955964361504408
46,"(0.40645831823349, array(1.699842, dtype=float32))",0.9955009221693482
47,"(0.413310170173645, array(1.7309177, dtype=float32))",0.9954054173515271
48,"(0.4191708266735077, array(1.7554078, dtype=float32))",0.9953099216960986
49,"(0.413167804479599, array(1.7317896, dtype=float32))",0.9952144352021836
50,"(0.41097715497016907, array(1.7727052, dtype=float32))",0.9951189578689031
51,"(0.4040409028530121, array(1.7906306, dtype=float32))",0.9950234896953786
52,"(0.3973856568336487, array(1.7707562, dtype=float32))",0.994928030680731
53,"(0.4225488007068634, array(1.7674896, dtype=float32))",0.9948325808240817
54,"(0.4145509898662567, array(1.8400214, dtype=float32))",0.9947371401245523
55,"(0.3874067962169647, array(1.8470968, dtype=float32))",0.994641708581264
56,"(0.38405701518058777, array(1.8624865, dtype=float32))",0.9945462861933386
57,"(0.37837037444114685, array(1.9136777, dtype=float32))",0.9944508729598979
58,"(0.38014429807662964, array(1.8837017, dtype=float32))",0.9943554688800632
59,"(0.37850499153137207, array(1.8790084, dtype=float32))",0.9942600739529568
60,"(0.394858181476593, array(1.9525383, dtype=float32))",0.9941646881777003
61,"(0.39773860573768616, array(1.938818, dtype=float32))",0.9940693115534158
62,"(0.3757927119731903, array(1.9749874, dtype=float32))",0.9939739440792255
63,"(0.38100266456604004, array(1.9537919, dtype=float32))",0.9938785857542515
64,"(0.38363224267959595, array(2.0152068, dtype=float32))",0.9937832365776159
65,"(0.36907708644866943, array(2.0215764, dtype=float32))",0.9936878965484414
66,"(0.378427118062973, array(2.04042, dtype=float32))",0.99359256566585
67,"(0.3871983587741852, array(2.0627522, dtype=float32))",0.9934972439289645
68,"(0.38212332129478455, array(2.083984, dtype=float32))",0.9934019313369075
69,"(0.37044769525527954, array(2.0271204, dtype=float32))",0.9933066278888014
70,"(0.3554200530052185, array(2.0989175, dtype=float32))",0.9932113335837693
71,"(0.35655465722084045, array(2.114616, dtype=float32))",0.9931160484209338
72,"(0.3841538429260254, array(2.0777571, dtype=float32))",0.993020772399418
73,"(0.366096556186676, array(2.15174, dtype=float32))",0.9929255055183448
74,"(0.36414623260498047, array(2.1628325, dtype=float32))",0.9928302477768374
75,"(0.36497268080711365, array(2.1918063, dtype=float32))",0.9927349991740189
76,"(0.37034088373184204, array(2.138283, dtype=float32))",0.9926397597090125
77,"(0.3330112397670746, array(2.2063472, dtype=float32))",0.9925445293809417
78,"(0.3507057726383209, array(2.188001, dtype=float32))",0.99244930818893
79,"(0.32391607761383057, array(2.226836, dtype=float32))",0.9923540961321006
80,"(0.3559725284576416, array(2.2308264, dtype=float32))",0.9922588932095774
81,"(0.35753345489501953, array(2.241718, dtype=float32))",0.9921636994204839
82,"(0.34779617190361023, array(2.2916212, dtype=float32))",0.992068514763944
83,"(0.3663167953491211, array(2.200058, dtype=float32))",0.9919733392390815
84,"(0.3422575891017914, array(2.2831478, dtype=float32))",0.9918781728450203
85,"(0.3211439847946167, array(2.3294332, dtype=float32))",0.9917830155808846
